20180517_160725, -0.101660, 0.029302, 9.945936, -0.015971, -0.004259, 0.010647
20180517_160725, -0.092690, 0.022724, 9.969258, -0.017036, -0.003194, 0.009583
20180517_160726, -0.098072, 0.120198, 9.979424, -0.015971, -0.004259, 0.009583
20180517_160727, -0.107042, 0.135746, 9.983012, -0.015971, -0.004259, 0.010647
20180517_160728, -0.128570, 0.120198, 9.979424, -0.015971, -0.004259, 0.010647
20180517_160729, -0.098072, 0.120198, 9.960288, -0.017036, -0.004259, 0.009583
20180517_160730, -0.114816, 0.055016, 9.979424, -0.014906, -0.004259, 0.009583
20180517_160730, -0.101062, 0.044850, 9.975836, -0.017036, -0.004259, 0.010647
20180517_160731, -0.108238, 0.049036, 9.974640, -0.015971, -0.004259, 0.009583
20180517_160732, -0.117208, 0.136942, 9.986002, -0.015971, -0.004259, 0.010647
20180517_160733, -0.100464, 0.148902, 9.990188, -0.015971, -0.004259, 0.009583
20180517_160734, -0.111826, 0.108836, 9.966866, -0.015971, -0.004259, 0.009583
20180517_160735, -0.102856, 0.070564, 9.963876, -0.015971, -0.005324, 0.009583
20180517_160735, -0.105846, 0.068172, 9.951916, -0.017036, -0.004259, 0.010647
20180517_160736, -0.117806, 0.040664, 9.963278, -0.015971, -0.004259, 0.009583
20180517_160737, -0.099866, 0.084916, 9.980620, -0.015971, -0.004259, 0.010647
20180517_160738, -0.117208, 0.121992, 9.995570, -0.015971, -0.004259, 0.009583
20180517_160739, -0.105846, 0.146510, 9.993178, -0.018100, -0.004259, 0.010647
20180517_160740, -0.114816, 0.083720, 9.981816, -0.015971, -0.004259, 0.010647
20180517_160741, -0.100464, 0.075348, 9.971650, -0.015971, -0.003194, 0.009583
20180517_160741, -0.107640, 0.056212, 9.958494, -0.015971, -0.004259, 0.010647
20180517_160742, -0.127972, 0.084318, 9.962680, -0.017036, -0.006388, 0.009583
20180517_160743, -0.091494, 0.075348, 9.978228, -0.018100, -0.004259, 0.010647
20180517_160744, -0.136942, 0.118404, 9.995570, -0.012777, -0.003194, 0.008518
20180517_160745, -0.095082, 0.133354, 9.982414, -0.014906, -0.003194, 0.010647
20180517_160746, -0.099866, 0.103454, 9.993776, -0.014906, -0.004259, 0.010647
20180517_160746, -0.125580, 0.115414, 9.998560, -0.015971, -0.004259, 0.010647
20180517_160747, -0.104052, 0.156676, 9.983012, -0.015971, -0.004259, 0.009583
20180517_160748, -0.095680, 0.092690, 9.963876, -0.015971, -0.004259, 0.009583
20180517_160749, -0.104052, 0.046046, 9.960288, -0.015971, -0.004259, 0.010647
20180517_160750, -0.097474, 0.054418, 9.957298, -0.015971, -0.004259, 0.010647
20180517_160751, -0.109434, 0.105248, 9.974042, -0.014906, -0.004259, 0.009583
20180517_160751, -0.132756, 0.103454, 9.993178, -0.015971, -0.003194, 0.009583
20180517_160752, -0.104052, 0.079534, 9.968062, -0.017036, -0.004259, 0.009583
20180517_160753, -0.121394, 0.029900, 9.965072, -0.017036, -0.003194, 0.009583
20180517_160754, -0.119600, 0.077740, 9.965670, -0.017036, -0.004259, 0.009583
20180517_160755, -0.117208, 0.118404, 9.983012, -0.015971, -0.004259, 0.009583
20180517_160756, -0.111228, 0.137540, 9.987796, -0.017036, -0.004259, 0.009583
20180517_160756, -0.102856, 0.145314, 9.972248, -0.015971, -0.004259, 0.010647
20180517_160757, -0.107042, 0.113620, 9.957896, -0.015971, -0.004259, 0.010647
20180517_160758, -0.088504, 0.107042, 9.962680, -0.014906, -0.003194, 0.009583
20180517_160759, -0.097474, 0.101062, 9.977032, -0.015971, -0.004259, 0.009583
20180517_160800, -0.110630, 0.061594, 9.962082, -0.015971, -0.004259, 0.009583
20180517_160801, -0.119002, 0.119600, 9.962680, -0.014906, -0.004259, 0.010647
20180517_160802, -0.099866, 0.126178, 9.973444, -0.014906, -0.004259, 0.009583
20180517_160802, -0.093886, 0.130364, 9.970454, -0.014906, -0.005324, 0.010647
20180517_160803, -0.105248, 0.119002, 9.971052, -0.014906, -0.005324, 0.010647
20180517_160804, -0.095680, 0.108836, 9.963876, -0.017036, -0.003194, 0.010647
20180517_160805, -0.096876, 0.095680, 9.953710, -0.017036, -0.004259, 0.009583
20180517_160806, -0.097474, 0.038870, 9.975836, -0.014906, -0.005324, 0.009583
20180517_160807, -0.108836, 0.056212, 9.981218, -0.015971, -0.004259, 0.010647
20180517_160807, -0.108238, 0.075348, 9.984208, -0.017036, -0.00319